word,sentiment
poisonous,disgust
polemic,disgust
politic,disgust
pollute,disgust
pollution,disgust
polygamy,disgust
pompous,disgust
porn,disgust
pornography,disgust
possessed,disgust
possession,disgust
poverty,disgust
powerful,disgust
powerless,disgust
pregnancy,disgust
prejudiced,disgust
presumptuous,disgust
prick,disgust
prisoner,disgust
prohibited,disgust
prolong,disgust
prosecution,disgust
prostitute,disgust
prostitution,disgust
provoking,disgust
puke,disgust
pungent,disgust
punished,disgust
punishment,disgust
purgatory,disgust
pus,disgust
quack,disgust
quagmire,disgust
questionable,disgust
rabid,disgust
raging,disgust
rags,disgust
rancid,disgust
rape,disgust
rascal,disgust
rash,disgust
rat,disgust
rave,disgust
rebellion,disgust
recalcitrant,disgust
recession,disgust
recidivism,disgust
recklessness,disgust
reflux,disgust
regurgitation,disgust
rejection,disgust
remains,disgust
remiss,disgust
repellant,disgust
repellent,disgust
repelling,disgust
reproach,disgust
repudiation,disgust
repulsion,disgust
resentment,disgust
resign,disgust
retard,disgust
reversal,disgust
revoke,disgust
revolting,disgust
revulsion,disgust
ridicule,disgust
ridiculous,disgust
rigor,disgust
rob,disgust
robber,disgust
robbery,disgust
rogue,disgust
rook,disgust
rot,disgust
rotting,disgust
rubbish,disgust
ruined,disgust
ruinous,disgust
ruthless,disgust
sabotage,disgust
sacrifices,disgust
sarcasm,disgust
saturated,disgust
savor,disgust
scar,disgust
schizophrenia,disgust
scoff,disgust
scold,disgust
scorpion,disgust
scoundrel,disgust
scream,disgust
screaming,disgust
scrub,disgust
scum,disgust
secrete,disgust
secretion,disgust
segregate,disgust
selfish,disgust
senseless,disgust
sentence,disgust
separatist,disgust
septic,disgust
serpent,disgust
servile,disgust
sewage,disgust
sewer,disgust
sewerage,disgust
shabby,disgust
shack,disgust
shackle,disgust
sham,disgust
shame,disgust
shameless,disgust
shanghai,disgust
shit,disgust
shoddy,disgust
shoplifting,disgust
shun,disgust
sick,disgust
sickening,disgust
sickly,disgust
sickness,disgust
sin,disgust
sinful,disgust
sinister,disgust
sinner,disgust
sinning,disgust
slander,disgust
slaughter,disgust
slaughterhouse,disgust
slaughtering,disgust
slavery,disgust
slayer,disgust
slime,disgust
slimy,disgust
slop,disgust
sloppy,disgust
sloth,disgust
sludge,disgust
slug,disgust
slum,disgust
slur,disgust
slush,disgust
slut,disgust
sly,disgust
smell,disgust
smelling,disgust
smuggler,disgust
smut,disgust
snake,disgust
snarl,disgust
sneer,disgust
sneeze,disgust
socialism,disgust
socialist,disgust
soil,disgust
soiled,disgust
soot,disgust
sordid,disgust
soreness,disgust
soulless,disgust
sour,disgust
speck,disgust
spew,disgust
spider,disgust
spit,disgust
spoil,disgust
spurious,disgust
squeamish,disgust
squelch,disgust
squirm,disgust
stain,disgust
stalemate,disgust
stall,disgust
stealing,disgust
sticky,disgust
stigma,disgust
stingy,disgust
stink,disgust
stinking,disgust
stomach,disgust
stools,disgust
strangle,disgust
stripped,disgust
sty,disgust
subjugation,disgust
subsidy,disgust
subvert,disgust
suffering,disgust
suffocating,disgust
suicidal,disgust
sump,disgust
sunk,disgust
suppression,disgust
surly,disgust
swamp,disgust
swampy,disgust
swarm,disgust
swig,disgust
swine,disgust
taboo,disgust
tariff,disgust
tarnish,disgust
tasteless,disgust
tawny,disgust
tearful,disgust
teeming,disgust
termite,disgust
terrible,disgust
terrorism,disgust
terrorist,disgust
tetanus,disgust
theft,disgust
theism,disgust
thief,disgust
thoughtless,disgust
thrash,disgust
threatening,disgust
thrift,disgust
thug,disgust
tirade,disgust
toad,disgust
toilet,disgust
tortious,disgust
torture,disgust
toxic,disgust
traitor,disgust
tramp,disgust
trash,disgust
trashy,disgust
travesty,disgust
treacherous,disgust
treason,disgust
treat,disgust
tree,disgust
tribunal,disgust
trickery,disgust
tyrannical,disgust
tyrant,disgust
ugliness,disgust
ugly,disgust
ulcer,disgust
unaccountable,disgust
unattractive,disgust
unbearable,disgust
uncaring,disgust
uncertain,disgust
unclean,disgust
unconscionable,disgust
undesirable,disgust
undoubted,disgust
uneasy,disgust
unequal,disgust
unfair,disgust
unfaithful,disgust
unfavorable,disgust
unfriendly,disgust
ungrateful,disgust
unhappy,disgust
unhealthy,disgust
unjustifiable,disgust
unkind,disgust
unlawful,disgust
unlucky,disgust
unmanageable,disgust
unnatural,disgust
unpleasant,disgust
unpopular,disgust
unruly,disgust
unsatisfactory,disgust
unsatisfied,disgust
unsettled,disgust
unsightly,disgust
unthinkable,disgust
untidy,disgust
untoward,disgust
unwashed,disgust
unworthy,disgust
vacuous,disgust
vainly,disgust
vampire,disgust
varicella,disgust
vegetative,disgust
venom,disgust
venomous,disgust
vermin,disgust
vesicular,disgust
vicious,disgust
victimized,disgust
villainous,disgust
vindictive,disgust
violent,disgust
violently,disgust
vomit,disgust
vulgar,disgust
vulgarity,disgust
vulture,disgust
wallow,disgust
wart,disgust
waste,disgust
wasted,disgust
wasteful,disgust
wasting,disgust
weight,disgust
weird,disgust
wench,disgust
whine,disgust
whore,disgust
wickedness,disgust
wimp,disgust
wimpy,disgust
wince,disgust
winning,disgust
witch,disgust
withered,disgust
woe,disgust
woefully,disgust
worsening,disgust
worthless,disgust
wrangling,disgust
wreck,disgust
wretch,disgust
wretched,disgust
wrongdoing,disgust
wrongful,disgust
